大吉, 叶う, 繁盛, 良し
中吉, 叶う, 繁盛, 良し
小吉, 叶う, 繁盛, 良し
末吉, 叶う, 繁盛, 良し
吉, 叶う, 繁盛, 良し
凶, 叶う, 繁盛, 良し
大吉, 叶わない, 衰退, 悪し
中吉, 叶わない, 衰退, 悪し
小吉, 叶わない, 衰退, 悪し
末吉, 叶わない, 衰退, 悪し
吉, 叶わない, 衰退, 悪し
凶, 叶わない, 衰退, 悪し
大吉, 叶う, 衰退, 良し
中吉, 叶う, 衰退, 良し
小吉, 叶う, 衰退, 良し
末吉, 叶う, 衰退, 良し
吉, 叶う, 衰退, 良し
凶, 叶う, 衰退, 良し
大吉, 叶う, 繁盛, 悪し
中吉, 叶う, 繁盛, 悪し
小吉, 叶う, 繁盛, 悪し
末吉, 叶う, 繁盛, 悪し
吉, 叶う, 繁盛, 悪し
凶, 叶う, 繁盛, 悪し
大吉, 叶わない, 衰退, 良し
中吉, 叶わない, 衰退, 良し
小吉, 叶わない, 衰退, 良し
末吉, 叶わない, 衰退, 良し
吉, 叶わない, 衰退, 良し
凶, 叶わない, 衰退, 良し
大吉, 叶わない, 繁盛, 悪し
中吉, 叶わない, 繁盛, 悪し
小吉, 叶わない, 繁盛, 悪し
末吉, 叶わない, 繁盛, 悪し
吉, [叶わない, 繁盛, 悪し
凶, 叶わない, 繁盛, 悪し
大吉, 叶うかも, 繁盛, 良し
中吉, 叶うかも, 繁盛, 良し
小吉, 叶うかも, 繁盛, 良し
末吉, 叶うかも, 繁盛, 良し
吉, 叶うかも, 繁盛, 良し
凶, 叶うかも, 繁盛, 良し
大吉, 叶うかも, 衰退, 良し
中吉, 叶うかも, 衰退, 良し
小吉, 叶うかも, 衰退, 良し
末吉, 叶うかも, 衰退, 良し
吉, 叶うかも, 衰退, 良し
凶, 叶うかも, 衰退, 良し
大吉, 叶うかも, 繁盛, 悪し
中吉, 叶うかも, 繁盛, 悪し
小吉, 叶うかも, 繁盛, 悪し
末吉, 叶うかも, 繁盛, 悪し
吉, 叶うかも, 繁盛, 悪し
凶, 叶うかも, 繁盛, 悪し
